I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,Label
0.09473684210526316,0.0003813882532418001,0.0008277166844034528,0.08045977011494253,0.00012115660229606537,0.001509271237602415,0.00542822677925211,0.009140767824497258,0.0012417952811779316,0.25,0.02702702702702703,0.0,0.00909090909090909,26,12,75,393,1,0,969,27,1,855,332,659,509,13,273,265,8,188,23,2,1033,0,0,67,27,425,0
0.0,0.0002542588354945334,0.000709471443774388,0.04597701149425287,0.007090123766886817,0.01983613626563174,0.0030156815440289505,0.007312614259597806,0.05375199574241618,0.0,0.02702702702702703,0.0,0.005194805194805195,0,37,744,962,6,4,132,17,1,55,881,145,159,2,48,348,8,285,65,2,294,0,0,175,21,150,0
0.0,0.0001271294177472667,0.00023649048125812936,0.034482758620689655,0.005944553616721581,0.000646830530401035,0.0012062726176115801,0.005484460694698354,0.0005321979776476849,0.0,0.02702702702702703,0.0,0.003896103896103896,0,12,522,274,1,0,1105,19,1,534,631,541,487,13,273,997,0,188,23,3,700,0,1,250,27,303,0
0.0,0.0011441647597254002,0.0037838477001300697,0.26436781609195403,0.031170737232999908,0.008840017248814145,0.00904704463208685,0.025594149908592323,0.004257583821181479,0.0,0.0,0.0,0.02987012987012987,0,126,1174,556,1,5,960,2,1,471,349,382,450,13,539,789,3,2,23,1,638,0,1,67,27,410,0
0.0,0.011823035850495803,0.00011824524062906468,0.1954022988505747,0.006078515388366012,0.09982751185855973,0.011459589867310011,0.054844606946983544,0.07965229732127017,0.0,0.08108108108108109,0.0,0.09610389610389611,0,50,399,328,21,0,843,17,1,194,909,988,361,2,519,446,8,16,23,1,1090,0,0,458,4,91,0
0.0,0.001271294177472667,0.005675771550195104,0.3908045977011494,0.025916677748063218,0.049374730487279,0.0012062726176115801,0.062157221206581355,0.012417952811779315,0.0,0.02702702702702703,0.0,0.04415584415584416,0,51,599,398,1,6,1093,11,1,194,281,465,777,13,402,921,7,279,0,0,857,0,0,543,0,0,0
0.0,0.003051106025934401,0.0013006976469197116,0.011494252873563218,0.006226267342385603,0.010996119016817595,0.0024125452352231603,0.018281535648994516,0.009934362249423453,0.0,0.08108108108108109,0.0,0.007792207792207792,33,126,868,639,1,4,97,17,1,11,566,1148,204,2,787,1009,8,510,23,3,458,0,1,493,27,348,0
0.0,0.0010170353419781336,0.00011824524062906468,0.011494252873563218,0.010237240387504124,0.0,0.0,0.04021937842778794,0.0003547986517651233,0.0,0.0,0.0,0.0012987012987012987,56,10,278,1029,1,4,447,2,1,289,135,112,557,13,620,341,7,386,0,0,102,0,10,636,0,0,0
0.0,0.4378337147215865,0.00011824524062906468,0.011494252873563218,0.0,0.0,0.0,0.003656307129798903,0.0003547986517651233,0.0,0.0,0.0,0.0025974025974025974,50,215,634,872,1,6,698,5,0,194,194,761,397,13,530,217,2,252,0,0,1062,0,7,531,0,0,0
0.0,0.0007627765064836002,0.00023649048125812936,0.0,0.07955260708322867,0.06274256144890039,0.0,0.0,0.012417952811779315,0.0,0.0,0.0,0.0,33,37,129,983,1,4,708,5,0,614,546,506,456,2,48,535,8,285,6,2,464,5,0,175,28,332,0
